ID_kredytu	ID_klienta	kwota
G54329	A0123	2850
H54321	A0123	28000
S12345	A0123	300000
G23456	A1234	50000
G65432	A1234	7500
G65439	A1234	7400
K45678	A1235	20000
K87654	A1235	1500
K87659	A1235	16500
S34567	A1244	150000
S76543	A1244	1100
S76549	A1244	11500
R56789	A2345	70000
R98765	A2345	9000
R98771	A2345	9300
G67890	A2347	3500
H09876	A2347	32000
H09882	A2347	31500
G10987	A3456	6000
G78901	A3456	40000
S10993	A3456	5800
H89012	A3459	12000
S21098	A3459	1300
S21104	A3459	12700
H12346	A4567	30000
K32109	A4567	24000
K32116	A4567	23500
K90123	A4567	25000
R01234	A4569	6000
R43217	A4569	8400
S43210	A4569	8500
G23457	A5678	5000
H54322	A5678	29000
H54330	A5678	27500
K45679	A6711	20000
S76544	A6711	12500
S76550	A6711	11800
G65433	A6789	5500
G65440	A6789	7600
S34568	A6789	15000
K87655	A7890	1700
K87660	A7890	15000
R56790	A7890	7000
H67891	A7892	35000
R98766	A7892	6500
R98772	A7892	6400
G78902	A8901	4000
H09877	A8901	31000
H09883	A8901	30500
G10988	A8904	4500
G10994	A8904	4700
S89013	A8904	12000
K90124	A9012	25000
S21090	A9012	13900
S21099	A9012	14000
K32110	B0123	26000
K32117	B0123	25500
R01235	B0123	6000
H23457	B0124	31000
R43211	B0124	8000
R43218	B0124	8100
G23458	B2345	4500
H54323	B2345	30000
G65434	B2349	7000
S45679	B2349	1400
K56780	B2360	2100
S76545	B2360	12000
K87656	B3456	16000
R67891	B3456	7500
H67892	B3470	36000
R98767	B3470	8800
G89013	B4567	4100
H09878	B4567	33000
G10989	B4569	5800
S90124	B4569	1300
H23458	B5628	3200
R43212	B5628	7700
K32111	B5638	22000
R12346	B5638	6100
K01235	B5678	2600
S21100	B5678	13500
G65435	B6719	5200
S45680	B6719	14500
K56781	B6729	22000
G23459	B6789	4600
H54324	B6789	30500
R67892	B7890	7600
H67893	B8901	37000
G89014	B8911	4200
S90125	B9012	13500
K32112	C0113	23500
R12347	C0113	6200
K01236	C0123	27000
H23459	C1122	33000
R43213	C1122	8100
G23460	C2233	4700
H54325	C2233	29500
G65436	C2345	6800
S45681	C2345	15000
K56782	C3344	23000
S76546	C3344	10500
K87657	C3456	15500
R67893	C3456	7700
H67894	C4455	38000
R98768	C4455	9100
G89015	C4567	4300
H09879	C4567	30500
G10990	C5566	5700
S90126	C5566	14000
K01237	C5678	2800
S21101	C5678	12800
K32113	C6789	21500
R12348	C6789	6300
G23461	C7860	4800
H54326	C7860	2900
H23460	C7890	34000
R43214	C7890	8200
S45682	C8901	15500
R67894	C9010	7800
K56783	C9012	24000
H67895	C9101	39000
R98769	C9101	9600
G89016	D1213	44000
H09880	D1213	31000
G10991	D1234	4600
S90127	D1234	16000
K01238	D2345	29000
S21102	D2345	13800
K32114	D3344	22500
R12349	D3344	6400
H23461	D3456	3500
R43215	D3456	8300
G23462	D3459	4900
H54327	D3459	28000
G65437	D4455	7400
S45683	D4455	16500
K56784	D4567	2500
S76547	D4567	11200
K87658	D5566	16500
R67895	D5566	7900
G89017	D5628	4500
H09881	D5628	32000
H67896	D5678	4000
R98770	D5678	8900
G10992	D6677	5900
S90128	D6677	1700
K01239	D6789	3000
S21103	D6789	13200
K32115	D6790	23000
R12350	D6790	6500
H23462	D7788	3600
R43216	D7788	8600
G65438	D7880	7100
S45684	D7880	1750
G23463	D7890	5000
H54328	D7890	30000
K56785	D8901	26000
S76548	D8901	12300
